Numerator	Denominator	mpn Kuehner	eco Valgepea 2013 48	sce Nagaraj	sce deGodoy	sce Newman rich	sce Newman minimal	hsa Khan Chimpanzee Protein	hsa Khan Human Protein	hsa Geiger 2012 HeLa	hsa Geiger 2012 U2OS	hsa Nagaraj 2011	hsa Beck
TOTAL	TOTAL	1	1	1	1	1	1	1	1	1	1	1	1
MAPPED	TOTAL	0.8025	0.9254	0.849	0.8927	0.8283	0.826	0.7924	0.7962	0.8026	0.7942	0.7871	0.8947
Genetic Information Processing	TOTAL	0.33	0.5017	0.4585	0.4185	0.4323	0.3962	0.3981	0.4015	0.4904	0.4694	0.3688	0.4282
-Transcription	TOTAL	0.0205	0.05188	0.009401	0.006709	0.01533	0.01381	0.05066	0.04962	0.04863	0.04374	0.03776	0.04551
-Translation	TOTAL	0.1491	0.3654	0.3397	0.277	0.2973	0.2681	0.1236	0.1257	0.2108	0.1975	0.1182	0.1788
-Folding, Sorting and Degradation	TOTAL	0.1144	0.06451	0.09664	0.128	0.09623	0.08852	0.1813	0.1813	0.1284	0.1398	0.16	0.1541
-DNA Maintenance	TOTAL	0.04595	0.01984	0.0127	0.006786	0.02341	0.02575	0.04253	0.04483	0.1026	0.08835	0.05277	0.0498
-RNA Family	TOTAL	0	4.776e-11	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	TOTAL	0.006849	0.007269	0.01015	0.00881	0.009028	0.007366	0.03874	0.03655	0.04457	0.04788	0.03328	0.0489
-Signal Transduction	TOTAL	0.0005067	0.007269	0.002385	0.002324	0.004563	0.003584	0.01527	0.01561	0.01882	0.01874	0.01497	0.01194
-Signaling Molecules and Interaction	TOTAL	0.006342	1.91e-10	0.007769	0.006487	0.004465	0.003781	0.02347	0.02093	0.02575	0.02914	0.01831	0.03696
Cellular Processes	TOTAL	0.04287	0.01033	0.01587	0.02307	0.03952	0.039	0.1034	0.09432	0.103	0.1165	0.1738	0.1914
-Hemoglobin	TOTAL	0	0	0	0	0	0	0	0	4.17e-06	7.008e-06	0	3.769e-05
-Vesicular Transport	TOTAL	0	4.776e-11	0.006212	0.00838	0.008993	0.009053	0.02151	0.02579	0.01552	0.01758	0.01841	0.02589
-Cytoskeleton	TOTAL	0.01873	0.00315	0.003864	0.008239	0.005039	0.00517	0.06541	0.05205	0.07268	0.07989	0.1336	0.1496
-Cell Motility	TOTAL	0	0.005537	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	TOTAL	0.02414	0.001645	0.00579	0.006452	0.02549	0.02478	0.01194	0.01131	0.0106	0.01305	0.01258	0.01269
-Cell Communication	TOTAL	0	0	0	0	0	0	0.004568	0.005169	0.00417	0.005935	0.009241	0.003113
Metabolism	TOTAL	0.4228	0.4061	0.3645	0.4423	0.3475	0.3835	0.2233	0.2431	0.153	0.145	0.2001	0.213
-Membrane Transport	TOTAL	0.03769	0.05549	0.008944	0.003671	0.003119	0.002569	0.0003547	0.000371	0.001511	0.000796	0.0009357	0.0005237
-Central Carbon Metabolism	TOTAL	0.2173	0.1185	0.2044	0.2481	0.2069	0.2028	0.1181	0.1364	0.06242	0.06446	0.1069	0.1394
-Energy Metabolism	TOTAL	0.03666	0.02008	0.019	0.02172	0.01337	0.018	0.04001	0.03794	0.02391	0.0179	0.02059	0.007585
-Biosynthesis	TOTAL	0.06388	0.1724	0.1086	0.1484	0.1029	0.1415	0.04829	0.05057	0.04628	0.04384	0.05244	0.04332
