K14842	NSA2:YER126C
K16075	MFM1:YPL060W
K03132	TAF7:YMR227C
K00854	XKS1:YGR194C
K12198	VPS60:YDR486C
K10570	RAD28:YDR030C
K12386	ERS1:YCR075C
K00877	THI21:YPL258C
K02149	VMA8:YEL051W
K14644	RRT12:YCR045C
K07203	TOR2:YKL203C
K11644	SIN3:YOL004W
K11560	DSN1:YIR010W
K03142	SSL1:YLR005W
K12775	LRS4:YDR439W
K15450	TYW3:YGL050W
K10872	DMC1:YER179W
K15454	PUS9:YDL036C
K09647	IMP1:YMR150C
K14221	tD(GUC)J4:tD_GUC_J4
K06699	BLM10:YFL007W
K14676	Nte1:YML059C
K08286	PRR1:YKL116C
K00927	PGK1:YCR012W
K01694	TRP5:YGL026C
sce_YDR201W	Spc19:YDR201W
K11551	CHL4:YDR254W
K15322	SEN2:YLR105C
K14533	RPM2:YML091C
K11270	CTF8:YHR191C
K00766	TRP4:YDR354W
K12848	SNU23:YDL098C
K14401	Cft1:YDR301W
K02998	RPS0A:YGR214W
K14816	REH1:YLR387C
K01720	PDH1:YPR002W
K01537	PMC1:YGL006W
K03234	EFT1:YOR133W
K13507	GPT2:YKR067W
K02960	RPS16A:YMR143W
K03010	RPB2:YOR151C
K03386	TSA1:YML028W
K12873	BUD31:YCR063W
K17065	DNM1:YLL001W
K01886	GLN4:YOR168W
K02309	DBF4:YDR052C
K12412	MCM1:YMR043W
K12196	VPS4:YPR173C
K01958	PYC1:YGL062W
K14050	BET4:YJL031C
K10643	MOT2:YER068W
K12818	PRP22:YER013W
K14796	TMA23:YMR269W
K17968	MDM35:YKL053C-A
K01834	GPM2:YDL021W
K06927	DPH6:YLR143W
K03671	TRX1:YLR043C
K09500	CCT8:YJL008C
K03660	OGG1:YML060W
K14663	NTA1:YJR062C
K18097	GCY1:YOR120W
K00275	PDX3:YBR035C
K00688	Gph1:YPR160W
K14394	LTP1:YPR073C
K01490	AMD1:YML035C
K14219	tR(ACG)J:tR_ACG_J
K14219	tR(ACG)L:tR_ACG_L
K14219	tR(ACG)O:tR_ACG_O
K10418	DYN2:YDR424C
K02918	RPL35B:YDL136W
K14219	tR(ACG)E:tR_ACG_E
K14219	tR(ACG)D:tR_ACG_D
K01784	GAL10:YBR019C
K09051	SKO1:YNL167C
K00004	BDH1:YAL060W
K05294	BST1:YFL025C
K14815	MRT4:YKL009W
sce_YIL144W	Tid3:YIL144W
K02021	MDL2:YPL270W
K12609	CAF120:YNL278W
K15331	TRM2:YKR056W
K00943	CDC8:YJR057W
K02730	SCL1:YGL011C
K02872	RPL16A:YIL133C
K00077	PAN5:YHR063C
K08286	RCK2:YLR248W
K14168	NCS6:YGL211W
K17803	OMS1:YDR316W
K14549	Utp15:YMR093W
K14227	tI(AAU)I1:tI_AAU_I1
K14227	tI(AAU)I2:tI_AAU_I2
K12193	VPS24:YKL041W
K03841	FBP1:YLR377C
K11341	YAF9:YNL107W
K02940	RPL9B:YNL067W
K18046	OCA6:YDR067C
K00528	ARH1:YDR376W
K14219	tR(UCU)G3:tR_UCU_G3
K01868	MST1:YKL194C
K00381	MET5:YJR137C
K14861	URB1:YKL014C
K14219	tR(UCU)B:tR_UCU_B
K14233	tS(AGA)G:tS_AGA_G
K05012	GEF1:YJR040W
K14219	tR(UCU)E:tR_UCU_E
K14219	tR(UCU)D:tR_UCU_D
K14219	tR(UCU)K:tR_UCU_K
K18065	YCH1:YGR203W
K02872	RPL16B:YNL069C
K02266	Cox13:YGL191W
K17805	PAM16:YJL104W
K05863	AAC1:YMR056C
K06653	PHO81:YGR233C
K11423	SET2:YJL168C
K03126	TAF12:YDR145W
K03361	CDC4:YFL009W
K00102	DLD1:YDL174C
K00549	MET6:YER091C
K05310	Las21:YJL062W
K00972	QRI1:YDL103C
K08592	ULP1:YPL020C
K09466	ADR1:YDR216W
K18736	SHE2:YKL130C
K11407	HDA1:YNL021W
K03515	REV1:YOR346W
K14817	Loc1:YFR001W
K02932	RPL5:YPL131W
K18715	NUP159:YIL115C
K15207	TFC8:YPL007C
K12590	RRP46:YGR095C
K06646	CLN3:YAL040C
K00611	ARG3:YJL088W
sce_YGR113W	Dam1:YGR113W
K13348	SYM1:YLR251W
K03506	DPB3:YBR278W
K03671	TRX2:YGR209C
K08596	ULP2:YIL031W
K03537	POP5:YAL033W
K18720	NUP145:YGL092W
K01697	CYS4:YGR155W
K00764	ADE4:YMR300C
K17417	YMR31:YFR049W
K00994	CPT1:YNL130C
K02950	MRPS12:YNR036C
K18716	NUP42:YDR192C
K14016	UFD1:YGR048W
K00008	SOR1:YJR159W
K18722	NUP2:YLR335W
K15560	NRD1:YNL251C
K12189	VPS25:YJR102C
K04078	HSP10:YOR020C
K14772	UTP20:YBL004W
K07942	ARL1:YBR164C
K17605	RRD1:YIL153W
K14221	tD(GUC)G1:tD_GUC_G1
K01477	DAL2:YIR029W
K01950	QNS1:YHR074W
K11556	AME1:YBR211C
K14237	tV(AAC)G3:tV_AAC_G3
K14237	tV(AAC)G2:tV_AAC_G2
K11684	BDF1:YLR399C
K00380	MET10:YFR030W
K11497	MIF2:YKL089W
K09140	TSR3:YOR006C
K14403	Ysh1:YLR277C
K11682	SWC3:YAL011W
K00432	GPX2:YBR244W
K05537	KTR6:YPL053C
K06030	FZO1:YBR179C
K00849	GAL3:YDR009W
K17867	JJJ3:YJR097W
K10755	RFC4:YOL094C
K11229	BCK1:YJL095W
K12597	AIR1:YIL079C
K00601	ADE8:YDR408C
K00697	TPS1:YBR126C
K12612	DCP1:YOL149W
K00838	ARO8:YGL202W
K09485	SSE1:YPL106C
K18655	DBP5:YOR046C
K12197	DID2:YKR035W-A
K01488	AAH1:YNL141W
K12621	LSM2:YBL026W
K00938	ERG8:YMR220W
K03014	RPO26:YPR187W
K11398	EAF5:YEL018W
K02326	DPB4:YDR121W
K10591	RSP5:YER125W
K14651	NPL3:YDR432W
K11984	SNU66:YOR308C
K07565	NIP7:YPL211W
K15110	ODC2:YOR222W
K11559	MTW1:YAL034W-A
K00948	PRS5:YOL061W
K14967	BRE2:YLR015W
K18185	COX23:YHR116W
K12771	SPS1:YDR523C
K02865	RPL1A:YPL220W
K09539	PAM18:YLR008C
K12811	PRP5:YBR237W
K02955	RPS14B:YJL191W
K12188	SNF8:YPL002C
K11360	SPT8:YLR055C
K03008	RPB11:YOL005C
K11403	SAS5:YOR213C
K00021	HMG2:YLR450W
K14224	tE(UUC)C:tE_UUC_C
K14224	tE(UUC)L:tE_UUC_L
K14224	tE(UUC)M:tE_UUC_M
K14224	tE(UUC)I:tE_UUC_I
K11215	STE12:YHR084W
K14224	tE(UUC)K:tE_UUC_K
K08853	PRK1:YIL095W
K14224	tE(UUC)Q:tE_UUC_Q
K10357	MYO2:YOR326W
K15283	SLY41:YOR307C
K14411	Hrp1:YOL123W
K08165	ATR1:YML116W
K14824	ERB1:YMR049C
K11365	SGF73:YGL066W
K14407	Pti1:YGR156W
K15145	MED1:YPR070W
K17974	JSN1:YJR091C
K01669	PHR1:YOR386W
K14225	SUF6:tG_UCC_N
K17661	CBP2:YHL038C
K02259	Cox15:YER141W
K12851	PRP38:YGR075C
K14018	DOA1:YKL213C
K01939	ADE12:YNL220W
K07750	ERG25:YGR060W
K17989	CHA1:YCL064C
K14775	UTP30:YKR060W
K14024	USA1:YML029W
K14230	IMT3:tM_CAU_J3
K14230	EMT3:tM_CAU_J2
K14230	EMT5:tM_CAU_J1
K08139	Hxt1:YHR094C
K02873	RPL13B:YMR142C
K09522	ZUO1:YGR285C
K02896	RPL24A:YGL031C
K00637	ARE1:YCR048W
K01655	LYS20:YDL182W
K12659	ARG5:YER069W
K11761	NPL6:YMR091C
K02734	PRE1:YER012W
K14854	RSA3:YLR221C
K11872	UBP13:YBL067C
K14219	tR(ACG)K:tR_ACG_K
K12462	RDI1:YDL135C
K11339	EAF3:YPR023C
K12604	CDC39:YCR093W
K03257	TIF1:YKR059W
K15109	YMC1:YPR058W
K03034	RPN4:YDL020C
K09554	CDC37:YDR168W
K15255	PIF1:YML061C
K13237	SPS19:YNL202W
K02918	RPL35A:YDL191W
K05536	MNN5:YJL186W
K00286	PRO3:YER023W
K05857	PLC1:YPL268W
K02898	RPL26A:YLR344W
K16938	CDC10:YCR002C
K06269	PPZ1:YML016C
K00122	FDH1:YOR388C
K01698	HEM2:YGL040C
K00866	CKI1:YLR133W
K02214	CDC7:YDL017W
K02627	PDS1:YDR113C
K05288	GPI13:YLL031C
K14228	tL(UAG)J:tL_UAG_J
K11766	RSC58:YLR033W
K05289	GAA1:YLR088W
K06126	COQ6:YGR255C
K17261	SRV2:YNL138W
K03025	RPC34:YNR003C
K14228	tL(UAA)K:tL_UAA_K
K14228	SUP51:tL_UAA_J
K14228	tL(UAA)N:tL_UAA_N
K14228	tL(UAA)L:tL_UAA_L
K02882	RPL20A:YMR242C
K03238	SUI3:YPL237W
sce_YGR282C	Bgl2:YGR282C
K03254	RPG1:YBR079C
K12195	VPS20:YMR077C
K08963	MRI1:YPR118W
K00288	ADE3:YGR204W
K01768	CYR1:YJL005W
K12598	MTR4:YJL050W
K14998	SHY1:YGR112W
K09202	SWI5:YDR146C
K06630	Bmh1:YER177W
K11758	RSC30:YHR056C
K06665	CYC8:YBR112C
K01687	ILV3:YJR016C
K02864	MRPL11:YDL202W
K01551	GET3:YDL100C
K06636	SMC1:YFL008W
K02956	MRPS28:YDR337W
K00507	Ole1:YGL055W
K18719	NUP82:YJL061W
K06027	SEC18:YBR080C
K10884	YKU70:YMR284W
K06661	RAD9:YDR217C
K00759	APT2:YDR441C
K12275	SEC62:YPL094C
K08853	ARK1:YNL020C
K00297	MET12:YPL023C
K01657	TRP2:YER090W
K08294	MKK1:YOR231W
K09648	IMP2:YMR035W
K15562	SGV1:YPR161C
K14951	YPK9:YOR291W
K17970	MDV1:YJL112W
K15325	SEN15:YMR059W
K00654	LCB2:YDR062W
K15356	VRG4:YGL225W
K01689	ERR1:YOR393W
K01228	CWH41:YGL027C
K16945	CDC11:YJR076C
K00801	ERG9:YHR190W
K14572	Mdn1:YLR106C
K15178	RTF1:YGL244W
K17806	PAM17:YKR065C
K13721	APE2:YKL157W
K14376	Pap1:YKR002W
K14223	tQ(UUG)Q:tQ_UUG_Q
K14227	tI(AAU)N2:tI_AAU_N2
K05355	COQ1:YBR003W
K14546	Utp5:YDR398W
K14223	tQ(UUG)H:tQ_UUG_H
K18749	SCD6:YPR129W
K15114	ORT1:YOR130C
K15326	SEN54:YPL083C
K12691	OST5:YGL226C-A
K14223	tQ(UUG)C:tQ_UUG_C
K18737	SHE3:YBR130C
K02209	MCM5:YLR274W
K18278	THI11:YJR156C
K14797	ENP1:YBR247C
K02922	RPL37A:YLR185W
K06664	PEX2:YJL210W
K12599	SKI2:YLR398C
K08339	ATG5:YPL149W
K01689	ENO2:YHR174W
K14237	tV(UAC)Q:tV_UAC_Q
K01613	PSD2:YGR170W
K13617	PPE1:YHR075C
K01424	ASP3-2:YLR157C
K03320	MEP2:YNL142W
K11361	SPT20:YOL148C
K06674	SMC2:YFR031C
K01381	PEP4:YPL154C
K01893	DED81:YHR019C
K01288	KEX1:YGL203C
K09291	MLP2:YIL149C
K11375	ELP4:YPL101W
K00693	Gsy2:YLR258W
K05543	SMM1:YNR015W
K01868	THS1:YIL078W
K11322	EPL1:YFL024C
K00004	BDH2:YAL061W
K08150	ITR1:YDR497C
K03353	CDC16:YKL022C
K02912	RPL32:YBL092W
K14236	SUP4:tY_GUA_J2
K14236	SUP7:tY_GUA_J1
K00863	DAK2:YFL053W
K10747	CDC9:YDL164C
K12870	ISY1:YJR050W
K04649	UBC1:YDR177W
K14237	tV(AAC)O:tV_AAC_O
K03165	TOP3:YLR234W
K01066	TGL1:YKL140W
K00063	ARA1:YBR149W
K09313	COY1:YKL179C
K03027	RPC40:YPR110C
K12819	SLU7:YDR088C
K06663	DDC1:YPL194W
K18278	THI13:YDL244W
K14222	tC(GCA)P1:tC_GCA_P1
K15447	TRM44:YPL030W
K14222	tC(GCA)P2:tC_GCA_P2
K06018	PPN1:YDR452W
K15442	TAD3:YLR316C
K14234	tT(AGU)O1:tT_AGU_O1
K12767	RIM15:YFL033C
K14763	NAF1:YNL124W
K05824	LYS12:YIL094C
K00294	PUT2:YHR037W
K15458	SAP185:YJL098W
K09242	LEU3:YLR451W
K13341	PEX7:YDR142C
K17657	MRS1:YIR021W
K04079	HSP82:YPL240C
K17268	SEC28:YIL076W
K14560	Imp3:YHR148W
K13127	CWC24:YLR323C
K01935	BIO4:YNR057C
K12669	OST3:YOR085W
K15859	SKN7:YHR206W
K11364	SGF29:YCL010C
K02150	VMA4:YOR332W
K12346	SMF1:YOL122C
K17676	CCE1:YKL011C
K15109	YMC2:YBR104W
K08342	ATG4:YNL223W
K03544	MCX1:YBR227C
K11126	EST2:YLR318W
K02999	RPA190:YOR341W
K01760	IRC7:YFR055W
K03849	ALG8:YOR067C
K06963	TAN1:YGL232W
K10661	SSM4:YIL030C
K00817	HIS5:YIL116W
K08286	PKH2:YOL100W
K14230	EMT1:tM_CAU_D
K11122	SIR3:YLR442C
K11121	HST4:YDR191W
K01937	URA8:YJR103W
K01282	DAP2:YHR028C
K04708	TSC10:YBR265W
K14230	tM(CAU)C:tM_CAU_C
K14233	tX(XXX)L:tX_XXX_L
K14230	EMT4:tM_CAU_M
K07566	SUA5:YGL169W
K08286	SKM1:YOL113W
K18639	KCC4:YCL024W
K08139	HXT16:YJR158W
K14230	IMT2:tM_CAU_P
K01424	ASP3-4:YLR160C
K02135	ATP15:YPL271W
K06063	PRP45:YAL032C
K05821	ARO9:YHR137W
K11244	WSC2:YNL283C
K17427	MRPL17:YNL252C
K06269	GLC7:YER133W
K01120	PDE1:YGL248W
K13338	PEX1:YKL197C
K03163	TOP1:YOL006C
K02911	MRPL32:YCR003W
K04640	GPA2:YER020W
K10838	RAD4:YER162C
K09250	GIS2:YNL255C
K17491	PSY2:YNL201C
K10597	UFD2:YDL190C
K08286	KIC1:YHR102W
K12623	LSM4:YER112W
K17438	MRPL25:YGR076C
K01104	PTP3:YER075C
K03114	SWE1:YJL187C
K12615	EDC3:YEL015W
K01689	ENO1:YGR254W
K18724	POM34:YLR018C
K01581	SPE1:YKL184W
K00849	GAL1:YBR020W
K15175	CDC73:YLR418C
K02917	RPL33B:YOR234C
K05863	AAC3:YBR085W
K14838	NOP15:YNL110C
K11648	SNF5:YBR289W
K15221	RRN10:YBL025W
K14655	Rib2:YOL066C
K17498	SPN1:YPR133C
K01269	TMA108:YIL137C
K01537	Pmr1:YGL167C
K18443	GEA2:YEL022W
K01852	ERG7:YHR072W
K10696	BRE1:YDL074C
K00668	FAS1:YKL182W
K00128	ALD4:YOR374W
K02957	RPS22A:YJL190C
K14416	HBS1:YKR084C
K11677	IES3:YLR052W
K15077	ELA1:YNL230C
K16794	PAC1:YOR269W
K04536	STE4:YOR212W
K06650	CLN2:YPL256C
K18600	LDB18:YLL049W
K03235	YEF3:YLR249W
K17664	CBS1:YDL069C
K09240	CAT8:YMR280C
K00861	FMN1:YDR236C
K14238	tW(UCA)Q:tW_UCA_Q
K02883	RPL18B:YNL301C
K16261	SSY1:YDR160W
K08075	TPP1:YMR156C
K09499	CCT7:YJL111W
K10981	POL4:YCR014C
K02978	RPS27B:YHR021C
K00698	CHS1:YNL192W
K11662	ARP6:YLR085C
K14403	Syc1:YOR179C
K11786	SNF2:YOR290C
K10771	APN1:YKL114C
K02962	RPS17A:YML024W
K14567	Utp14:YML093W
K15102	MIR1:YJR077C
K14828	RIX1:YHR197W
K15333	TRM3:YDL112W
K11778	RER2:YBR002C
K09043	CAD1:YDR423C
K03522	Aim45:YPR004C
K04798	YKE2:YLR200W
K12272	SRP102:YKL154W
K01098	CET1:YPL228W
K14224	tE(UUC)P:tE_UUC_P
K06067	RPD3:YNL330C
sce_YMR116C	Asc1:YMR116C
K14777	RRP3:YHR065C
K00412	COB:Q0105
K03036	RPN6:YDL097C
K15192	MOT1:YPL082C
K03781	CTA1:YDR256C
K02966	RPS19B:YNL302C
K02908	RPL30:YGL030W
K13509	SLC1:YDL052C
K03854	KTR2:YKR061W
K14776	HCA4:YJL033W
K00021	HMG1:YML075C
K02983	RPS30B:YOR182C
K01803	TPI1:YDR050C
K01952	ADE6:YGR061C
K10739	RFA2:YNL312W
K00236	SHH3:YMR118C
K12820	PRP43:YGL120C
K14532	RMP1:YLR145W
sce_YLR045C	Stu2:YLR045C
K15446	TRM13:YOL125W
K00799	Gtt1:YIR038C
K04382	PPH21:YDL134C
K18714	MFT1:YML062C
K03037	RPN7:YPR108W
K16073	ALR2:YFL050C
K10868	XRS2:YDR369C
K01930	RMA1:YKL132C
K15138	ROX3:YBL093C
K00262	GDH3:YAL062W
K11119	RIF2:YLR453C
K08337	ATG7:YHR171W
K12605	CDC36:YDL165W
K17673	ATP22:YDR350C
K12620	LSM1:YJL124C
K14224	SOE1:tE_UUC_G1
K09043	ARR1:YPR199C
K18561	OSM1:YJR051W
K14225	SUF1:tG_UCC_O
K17972	NAT3:YPR131C
K14798	LTV1:YKL143W
K02996	MRPS9:YBR146W
K11552	MCM21:YDR318W
K06655	PHO85:YPL031C
K14635	MPH1:YIR002C
K03386	TSA2:YDR453C
K04345	TPK1:YJL164C
K08141	MPH2:YDL247W
K01068	TES1:YJR019C
K11254	HHF2:YNL030W
K13344	PEX13:YLR191W
K01424	ASP1:YDR321W
K02905	RPL29:YFR032C-A
K01647	CIT1:YNR001C
K02985	RPS3:YNL178W
K15140	SRB6:YBR253W
K00894	EKI1:YDR147W
K03029	RPN10:YHR200W
K02902	MRPL24:YMR193W
K11267	PDS5:YMR076C
K15918	Tda10:YGR205W
K03134	TAF10:YDR167W
K02960	RPS16B:YDL083C
K07203	TOR1:YJR066W
K09578	ESS1:YJR017C
K00728	PMT1:YDL095W
K12770	GIP1:YBR045C
K12765	IME2:YJL106W
K10848	RAD1:YPL022W
K11427	DOT1:YDR440W
K14264	BNA3:YJL060W
K06641	DUN1:YDL101C
K01749	HEM3:YDL205C
K05542	DUS1:YML080W
K14235	tW(CCA)G1:tW_CCA_G1
K14812	NGL2:YMR285C
K03754	GCD7:YLR291C
K13511	TAZ1:YPR140W
K14235	tW(CCA)G2:tW_CCA_G2
K14396	Sgn1:YIR001C
K01104	PTP1:YDL230W
K02954	MRP2:YPR166C
K03178	UBA1:YKL210W
K14234	tT(UGU)P:tT_UGU_P
K02992	RSM7:YJR113C
K15174	PAF1:YBR279W
K14640	PHO89:YBR296C
K18183	COX19:YLL018C-A
K18732	THO1:YER063W
K01611	SPE2:YOL052C
K11574	CBF2:YGR140W
K08197	ENB1:YOL158C
K14234	tT(UGU)H:tT_UGU_H
K08150	ITR2:YOL103W
K08736	MSH3:YCR092C
K16261	Agp1:YCL025C
K01057	SOL1:YNR034W
K16369	CHO2:YGR157W
K14522	Pop3:YNL282W
K01264	APE3:YBR286W
K14561	Imp4:YNL075W
K04713	SUR2:YDR297W
K11764	LDB7:YBL006C
K02941	RPP0:YLR340W
K00706	FKS3:YMR306W
K14219	tR(UCU)J2:tR_UCU_J2
K14521	Kre33:YNL132W
K14219	tR(UCU)J1:tR_UCU_J1
K14234	tT(AGU)N1:tT_AGU_N1
K14234	tT(AGU)N2:tT_AGU_N2
K06316	RFT1:YBL020W
K17868	RRT2:YBR246W
K11096	SMD2:YLR275W
K14773	UTP23:YOR004W
K14237	tV(AAC)E2:tV_AAC_E2
K14568	Emg1:YLR186W
K17421	MRPL28:YDR462W
K00111	GUT2:YIL155C
K01874	MSM1:YGR171C
K03003	RPA34:YJL148W
K12184	VPS28:YPL065W
K07870	GEM1:YAL048C
sce_YGL093W	Spc105:YGL093W
K08738	CYC7:YEL039C
K06693	NAS2:YIL007C
K02927	RPL40A:YIL148W
K11262	Acc1:YNR016C
K05609	YUH1:YJR099W
K04077	HSP60:YLR259C
K02263	COX5A:YNL052W
K01760	STR3:YGL184C
K03359	CDC26:YFR036W
K17081	PHB2:YGR231C
K14292	Tgs1:YPL157W
K17663	CBP6:YBR120C
K15731	PSR1:YLL010C
K03678	RRP45:YDR280W
K01469	OXP1:YKL215C
K02870	RPL12B:YDR418W
K09281	CUP2:YGL166W
K04717	YSR3:YKR053C
K04627	STE3:YKL178C
K15334	NCL1:YBL024W
K12600	SKI3:YPR189W
K12200	RIM20:YOR275C
K02910	RPL31A:YDL075W
K11681	SWR1:YDR334W
K08489	TLG2:YOL018C
K14233	SUP19:tS_UGA_E
K14233	SUP17:tS_UGA_I
K03064	RPT4:YOR259C
K01187	IMA4:YJL221C
K14231	tF(GAA)P1:tF_GAA_P1
K14231	tF(GAA)P2:tF_GAA_P2
K01424	ASP3-3:YLR158C
K01178	SGA1:YIL099W
K03283	Ssa2:YLL024C
K04409	STE20:YHL007C
K18725	POM152:YMR129W
K00262	GDH1:YOR375C
K00873	PYK2:YOR347C
K08334	VPS30:YPL120W
K03032	RPN2:YIL075C
K15176	CTR9:YOL145C
K02838	RRF1:YHR038W
K01814	HIS6:YIL020C
K14541	DUR1:YBR208C
K10967	KTR1:YOR099W
K11773	SNF6:YHL025W
K18624	FYV10:YIL097W
K08286	PSK2:YOL045W
K11843	UBP6:YFR010W
K16833	GLC8:YMR311C
K15544	Ssu72:YNL222W
K08286	SCH9:YHR205W
sce_YLR212C	Tub4:YLR212C
K01681	ACO1:YLR304C
K02966	RPS19A:YOL121C
K01937	URA7:YBL039C
K02178	BUB1:YGR188C
K00833	BIO3:YNR058W
K15206	HUF:YNL108C
K11885	DDI1:YER143W
K14803	PTC2:YER089C
K14794	RRP12:YPL012W
K17678	MRH4:YGL064C
K05759	PFY1:YOR122C
K12829	CUS1:YMR240C
K13996	EPS1:YIL005W
K14826	FPR3:YML074C
K02955	RPS14A:YCR031C
K14429	VHC1:YBR235W
K00797	SPE3:YPR069C
K17764	MMM1:YLL006W
K14769	UTP11:YKL099C
K17797	COX18:YGR062C
K01106	INP53:YOR109W
K15153	SOH1:YGL127C
K17583	SGD1:YLR336C
K00133	HOM2:YDR158W
K00006	GPD1:YDL022W
K15105	AGC1:YPR021C
K01568	PDC1:YLR044C
K01900	LSC2:YGR244C
K00762	URA10:YMR271C
K12872	ECM2:YBR065C
K08098	SMP3:YOR149C
K01641	ERG13:YML126C
K00045	DSF1:YEL070W
K10873	RAD52:YML032C
K00802	SPE4:YLR146C
K18664	SLH1:YGR271W
K12773	SPR3:YGR059W
K14816	REI1:YBR267W
K03248	TIF35:YDR429C
K08852	IRE1:YHR079C
K12760	CLN1:YMR199W
K11246	SHO1:YER118C
K15172	SPT5:YML010W
K02974	RPS24A:YER074W
K03033	RPN3:YER021W
K00869	ERG12:YMR208W
K18798	AFG1:YEL052W
K03164	TOP2:YNL088W
K06943	Nog1:YPL093W
K09464	GCN4:YEL009C
K15193	SPT2:YER161C
K09448	TEC1:YBR083W
K12591	RRP6:YOR001W
K08497	SEC20:YDR498C
sce_YOR257W	Cdc31:YOR257W
K11324	SWC4:YGR002C
K07359	SAK1:YER129W
K00814	ALT2:YDR111C
K02729	PUP2:YGR253C
K12160	SMT3:YDR510W
K14300	Nup133:YKR082W
K09553	STI1:YOR027W
K03854	KTR4:YBR199W
K00698	CHS3:YBR023C
K00412	BI3:Q0115
K18188	PET117:YER058W
K03002	RPA135:YPR010C
K00667	FAS2:YPL231W
K15340	PSO2:YMR137C
K02873	RPL13A:YDL082W
K12585	DIS3:YOL021C
K02991	RPS6B:YBR181C
K07975	RHO4:YKR055W
K02997	RPS9A:YPL081W
K02868	RPL11B:YGR085C
K00658	KGD2:YDR148C
K18178	PET191:YJR034W
K17769	TOM22:YNL131W
K01417	YSP3:YOR003W
K06659	CLB4:YLR210W
K01456	PNG1:YPL096W
K07277	SAM50:YNL026W
K02646	PHO2:YDL106C
K14289	MSN5:YDR335W
K10405	KAR3:YPR141C
K08486	SSO2:YMR183C
K12592	LRP1:YHR081W
K14312	NUP157:YER105C
K01115	SPO14:YKR031C
K02976	RPS26A:YGL189C
K08139	Hxt7:YDR342C
K02127	ATP4:YPL078C
K03240	GCD6:YDR211W
K06134	CAT5:YOR125C
K14780	ECM16:YMR128W
K00390	MET16:YPR167C
K12617	PAT1:YCR077C
K00987	CEG1:YGL130W
K02984	RPS1B:YML063W
K12190	VPS36:YLR417W
K02948	MRPS18:YNL306W
K13886	CRN1:YLR429W
K02931	MRPL7:YDR237W
K17791	TIM18:YOR297C
K09184	GZF3:YJL110C
K11279	NAP1:YKR048C
K14326	NAM7:YMR080C
K14771	NOC4:YPR144C
K09468	MSN2:YMR037C
K03122	TOA1:YOR194C
K01194	NTH2:YBR001C
K04532	ULA1:YPL003W
K15155	PGD1:YGL025C
K14551	Utp9:YHR196W
K10998	CSM3:YMR048W
K14225	SUF23:tG_GCC_J2
K02726	PRE8:YML092C
K02979	RPS28A:YOR167C
K12780	REC8:YPR007C
sce_YMR117C	Spc24:YMR117C
K14404	Yth1:YPR107C
K09827	ERG27:YLR100W
K14766	NOP14:YDL148C
K00787	ERG20:YJL167W
K03859	GPI2:YPL076W
K01758	CYS3:YAL012W
K01057	SOL3:YHR163W
K12828	Hsh155:YMR288W
K02148	VMA5:YKL080W
K14526	Pop7:YBR167C
K11871	UBP7:YIL156W
K12578	LCD1:YDR499W
K06677	YCS4:YLR272C
K10777	DNL4:YOR005C
K12492	GCS1:YDL226C
K17794	TIM23:YNR017W
K15541	Mpe1:YKL059C
K11762	RSC8:YFR037C
K12816	CDC40:YDR364C
K14327	NMD2:YHR077C
K02875	RPL14A:YKL006W
K08711	PDR5:YOR153W
K12609	SKG3:YLR187W
K11235	MFA1:YDR461W
K02542	MCM6:YGL201C
K03020	RPC19:YNL113W
K06630	Bmh2:YDR099W
K01880	GRS1:YBR121C
K04393	CDC42:YLR229C
K15082	RAD7:YJR052W
K15628	Pxa2:YKL188C
K00620	ARG7:YMR062C
K09831	ERG5:YMR015C
K14825	ERP2:YAL007C
K07562	NMD3:YHR170W
K07442	GCD14:YJL125C
K17437	MRPL15:YLR312W-A
K17415	MRP21:YBL090W
K14297	NUP100:YKL068W
K03140	TAF14:YPL129W
K18532	FAP7:YDL166C
K12416	SWM1:YDR260C
K11241	DIG1:YPL049C
K00008	SOR2:YDL246C
K11253	HHT2:YNL031C
K15206	TFC7:YOR110W
K00058	SER3:YER081W
K06133	LYS5:YGL154C
K01535	PMA2:YPL036W
K08286	HAL5:YJL165C
K17439	MRPL35:YDR322W
K11370	AHC1:YOR023C
K10958	RAD57:YDR004W
K02938	RPL2B:YIL018W
K00058	SER33:YIL074C
K11377	ELP6:YMR312W
K14836	NOP8:YOL144W
K02923	RPL38:YLR325C
K02216	CHK1:YBR274W
K14233	tS(AGA)M:tS_AGA_M
K08197	ARN2:YHL047C
K03128	TAF2:YCR042C
K11756	RSC1:YGR056W
K07252	CAX4:YGR036C
K02973	RPS23A:YGR118W
K03320	MEP1:YGR121C
K02928	RPL41A:YDL184C
K03843	ALG2:YGL065C
K06672	SCC2:YDR180W
K02883	RPL18A:YOL120C
K14227	tI(AAU)P1:tI_AAU_P1
K08874	TRA1:YHR099W
K15108	TPC1:YGR096W
K14791	PWP1:YLR196W
K01895	ACS1:YAL054C
K15158	GAL11:YOL051W
K08856	ENV7:YPL236C
K17772	TOM6:YOR045W
K10669	TPT1:YOL102C
K01520	DUT1:YBR252W
K11292	SPT6:YGR116W
K02919	RTC6:YPL183W-A
K02974	RPS24B:YIL069C
K15565	CTK3:YML112W
K09485	SSE2:YBR169C
K09568	FPR1:YNL135C
K04564	RSM26:YJR101W
K02940	RPL9A:YGL147C
K00600	SHM1:YBR263W
K13953	ADH1:YOL086C
K17801	MBA1:YBR185C
K00605	GCV1:YDR019C
K07195	EXO70:YJL085W
